Months,Inflation_US,Inflation_CA,Food_US,Shelter_US,Food_CA,Shelter_CA
19-Jan,1.6,1.9,256.301,312.939,148.7,143
19-Feb,1.5,1.9,257.172,313.923,149.3,143.4
19-Mar,1.9,1.8,257.593,315.038,149.4,143.8
19-Apr,2,1.8,257.349,316.241,149,144.1
19-May,1.8,1.8,257.869,317.031,149.7,144.2
19-Jun,1.7,1.8,257.982,318.028,150.7,144
19-Jul,1.8,1.8,258.217,318.789,151.6,144.3
19-Aug,1.8,1.9,258.385,319.37,151.1,144.6
19-Sep,1.7,1.8,259.037,320.421,150.2,144.8
19-Oct,1.8,2,259.571,320.843,149.9,145.7
19-Nov,2.1,1.9,260.042,321.66,151.1,145.9
19-Dec,2.3,1.8,260.393,322.29,151.9,146.3
20-Jan,2.5,1.9,260.987,323.322,153.5,146.4
20-Feb,2.3,2,261.832,324.294,152.9,146.7
20-Mar,1.5,2,262.53,324.5,152.8,146.5
20-Apr,0.3,1.9,266.322,324.515,154,146
20-May,0.1,1.9,268.093,325.156,154.3,145.6
20-Jun,0.7,1.8,269.543,325.605,154.8,146.4
20-Jul,1,1.9,268.734,326.264,155,146.4
20-Aug,1.3,1.8,269.044,326.696,153.8,146.8
20-Sep,1.3,1.9,269.325,326.969,152.6,147.3
20-Oct,1.2,1.8,269.833,327.36,153.3,148.3
20-Nov,1.2,1.9,269.746,327.805,153.9,148.7
20-Dec,1.4,1.9,270.656,328.21,153.6,148.7
21-Jan,1.4,1.3,270.88,328.483,155,148.4
21-Feb,1.7,2.8,271.327,329.028,155.6,148.8
21-Mar,2.6,2.8,271.632,330.019,155.5,150
21-Apr,4.2,2.9,272.658,331.339,155.4,150.7
21-May,5,2.7,273.866,332.315,156.6,151.7
21-Jun,5.4,2.6,275.993,333.945,156.8,152.8
21-Jul,5.4,2.4,277.985,335.381,157.6,153.5
21-Aug,5.3,2.4,279.084,335.921,158,153.9
21-Sep,5.4,2.2,281.668,337.274,158.5,154.4
21-Oct,6.2,2,284.225,338.813,159.2,155.4
21-Nov,6.8,1.9,286.245,340.516,160.7,155.9
21-Dec,7.1,1.9,,,,
