Months,2020 (US),2020 (Canada),2021 (US),2021 (Canada)
Jan,41,12,733068479,21720235
Feb,402,239,776089304,23279070
Mar,1121455,58816,918766534,28662991
Apr,19952115,977839,946785056,33268713
May,45532271,2392456,1022498161,41170707
Jun,64923564,3015280,1006996231,42325516
Jul,111419452,3460239,1060555421,44341942
Aug,166389385,3850908,1150163602,45460750
Sep,199199386,4305850,1249406449,47080268
Oct,251452617,6164002,1392031827,52220644
Nov,340128433,9177149,1418982171,52864275
Dec,529508337,15106665,1857993914,70660679
