Date,Inflation_US,Inflation_CA,Covid_Cases_US,Covid_Cases_CA
12/1/2021,7.1,1.9,1857993914,70660679
11/1/2021,6.8,1.9,1418982171,52864275
10/1/2021,6.2,2,1392031827,52220644
9/1/2021,5.4,2.2,1249406449,47080268
8/1/2021,5.3,2.4,1150163602,45460750
7/1/2021,5.4,2.4,1060555421,44341942
6/1/2021,5.4,2.6,1006996231,42325516
5/1/2021,5.0,2.7,1022498161,41170707
4/1/2021,4.2,2.9,946785056,33268713
3/1/2021,2.6,2.8,918766534,28662991
2/1/2021,1.7,2.8,776089304,23279070
1/1/2021,1.4,,733068479,21720235
12/1/2020,1.4,1.9,529508337,15106665
11/1/2020,1.2,1.9,340128433,9177149
10/1/2020,1.2,1.8,251452617,6164002
9/1/2020,1.3,1.9,199199386,4305850
8/1/2020,1.3,1.8,166389385,3850908
7/1/2020,1.0,1.9,111419452,3460239
6/1/2020,0.7,1.8,64923564,3015280
5/1/2020,0.1,1.9,45532271,2392456
4/1/2020,0.3,1.9,19952115,977839
3/1/2020,1.5,2,1121455,58816
2/1/2020,2.3,2,402,239
1/1/2020,2.5,1.9,41,12
12/1/2019,2.3,1.8,0,0
11/1/2019,2.1,1.9,0,0
10/1/2019,1.8,2,0,0
9/1/2019,1.7,1.8,0,0
8/1/2019,1.8,1.9,0,0
7/1/2019,1.8,1.8,0,0
6/1/2019,1.7,1.8,0,0
5/1/2019,1.8,1.8,0,0
4/1/2019,2.0,1.8,0,0
3/1/2019,1.9,1.8,0,0
2/1/2019,1.5,1.9,0,0
1/1/2019,1.6,1.9,0,0
