Months,US Covid,Canada Covid
Jan-20,41,12
Feb-20,402,239
Mar-20,1121455,58816
Apr-20,19952115,977839
May-20,45532271,2392456
Jun-20,64923564,3015280
Jul-20,111419452,3460239
Aug-20,166389385,3850908
Sep-20,199199386,4305850
Oct-20,251452617,6164002
Nov-20,340128433,9177149
Dec-20,529508337,15106665
Jan-21,733068479,21720235
Feb-21,776089304,23279070
Mar-21,918766534,28662991
Apr-21,946785056,33268713
May-21,1022498161,41170707
Jun-21,1006996231,42325516
Jul-21,1060555421,44341942
Aug-21,1150163602,45460750
Sep-21,1249406449,47080268
Oct-21,1392031827,52220644
Nov-21,1418982171,52864275
Dec-21,1857993914,70660679
