Series ID,Year,Period,Label,Value
CUSR0000SAH1,2019,M01,2019 Jan,312.939
CUSR0000SAH1,2019,M02,2019 Feb,313.923
CUSR0000SAH1,2019,M03,2019 Mar,315.038
CUSR0000SAH1,2019,M04,2019 Apr,316.241
CUSR0000SAH1,2019,M05,2019 May,317.031
CUSR0000SAH1,2019,M06,2019 Jun,318.028
CUSR0000SAH1,2019,M07,2019 Jul,318.789
CUSR0000SAH1,2019,M08,2019 Aug,319.370
CUSR0000SAH1,2019,M09,2019 Sep,320.421
CUSR0000SAH1,2019,M10,2019 Oct,320.843
CUSR0000SAH1,2019,M11,2019 Nov,321.660
CUSR0000SAH1,2019,M12,2019 Dec,322.290
CUSR0000SAH1,2020,M01,2020 Jan,323.322
CUSR0000SAH1,2020,M02,2020 Feb,324.294
CUSR0000SAH1,2020,M03,2020 Mar,324.500
CUSR0000SAH1,2020,M04,2020 Apr,324.515
CUSR0000SAH1,2020,M05,2020 May,325.156
CUSR0000SAH1,2020,M06,2020 Jun,325.605
CUSR0000SAH1,2020,M07,2020 Jul,326.264
CUSR0000SAH1,2020,M08,2020 Aug,326.696
CUSR0000SAH1,2020,M09,2020 Sep,326.969
CUSR0000SAH1,2020,M10,2020 Oct,327.360
CUSR0000SAH1,2020,M11,2020 Nov,327.805
CUSR0000SAH1,2020,M12,2020 Dec,328.210
CUSR0000SAH1,2021,M01,2021 Jan,328.483
CUSR0000SAH1,2021,M02,2021 Feb,329.028
CUSR0000SAH1,2021,M03,2021 Mar,330.019
CUSR0000SAH1,2021,M04,2021 Apr,331.339
CUSR0000SAH1,2021,M05,2021 May,332.315
CUSR0000SAH1,2021,M06,2021 Jun,333.945
CUSR0000SAH1,2021,M07,2021 Jul,335.381
CUSR0000SAH1,2021,M08,2021 Aug,335.921
CUSR0000SAH1,2021,M09,2021 Sep,337.274
CUSR0000SAH1,2021,M10,2021 Oct,338.813
CUSR0000SAH1,2021,M11,2021 Nov,340.516
